,Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
0,49,2010-02-16 16:32:00.000000101,6.5,2010-02-16 16:32:00 UTC,-73.98278499999999,40.73213,-73.99764,40.730385,1
1,99,2011-02-28 18:37:41.0000002,13.3,2011-02-28 18:37:41 UTC,-73.983301,40.743722,-73.964523,40.710758,1
2,149,2013-02-18 10:25:00.000000103,56.8,2013-02-18 10:25:00 UTC,-73.776717,40.645305,-73.982352,40.748455,1
3,199,2011-07-05 06:48:44.0000002,10.5,2011-07-05 06:48:44 UTC,-73.9784,40.7517,-74.0105,40.7136,1
4,249,2012-08-16 16:00:00.00000036,9.7,2012-08-16 16:00:00 UTC,-73.978418,40.753615,-73.99065,40.731352,5
5,299,2014-06-14 16:09:00.00000092,11.5,2014-06-14 16:09:00 UTC,-73.998062,40.740907,-73.97949200000001,40.723257,2
6,349,2010-04-29 06:38:00.000000101,49.57,2010-04-29 06:38:00 UTC,-73.9882,40.76398,-73.988227,40.763987,1
7,399,2011-07-17 14:27:35.0000002,8.9,2011-07-17 14:27:35 UTC,-73.97462800000001,40.741923,-73.985966,40.722214,1
8,449,2011-10-16 04:42:43.0000001,19.3,2011-10-16 04:42:43 UTC,-74.009124,40.713511,-73.95382,40.770942,1
9,499,2015-06-21 10:33:57.0000001,10.0,2015-06-21 10:33:57 UTC,-73.9662094116211,40.7618408203125,-73.99128723144531,40.74501037597656,1
10,549,2012-01-05 13:16:38.0000002,16.9,2012-01-05 13:16:38 UTC,-73.98984399999999,40.757135,-73.972234,40.781447,4
11,599,2009-10-28 13:04:00.000000109,9.3,2009-10-28 13:04:00 UTC,-73.963987,40.77368,-73.972325,40.760127,5
12,649,2012-04-25 02:00:00.00000020,8.1,2012-04-25 02:00:00 UTC,-73.99355,40.721887,-73.951247,40.710942,1
13,699,2009-03-18 20:49:15.0000003,13.4,2009-03-18 20:49:15 UTC,0.0,0.0,0.0,0.0,1
14,749,2014-06-03 19:41:00.000000257,32.0,2014-06-03 19:41:00 UTC,-73.99996999999999,40.72206,-73.94242,40.8456,5
15,799,2010-02-17 09:55:00.000000206,15.3,2010-02-17 09:55:00 UTC,-73.99149,40.727165,-73.995898,40.764143,1
16,849,2013-12-03 17:54:31.0000001,9.0,2013-12-03 17:54:31 UTC,-73.962682,40.772996,-73.962303,40.757986,3
17,899,2009-12-16 18:32:09.0000003,26.9,2009-12-16 18:32:09 UTC,-73.866034,40.771095,-73.995869,40.696049,1
18,949,2015-05-22 07:22:16.0000003,30.54,2015-05-22 07:22:16 UTC,-73.95700073242188,40.78049850463867,-73.87276458740234,40.774322509765625,4
19,999,2010-01-13 08:13:14.0000007,10.9,2010-01-13 08:13:14 UTC,-73.932603,40.763805,-73.932603,40.763805,1
20,1049,2015-04-14 11:54:43.0000002,8.0,2015-04-14 11:54:43 UTC,-73.94841003417969,40.78268814086913,-73.94893646240234,40.79427337646485,6
21,1099,2013-03-19 19:23:00.000000147,3.5,2013-03-19 19:23:00 UTC,-73.960165,40.769587,-73.962645,40.77002,2
22,1149,2011-04-17 01:24:00.000000106,8.5,2011-04-17 01:24:00 UTC,-74.00805799999999,40.723705,-73.994157,40.756622,3
23,1199,2010-12-07 20:03:39.0000002,8.1,2010-12-07 20:03:39 UTC,-73.99459499999999,40.740438,-73.981113,40.759261,1
24,1249,2010-09-14 03:25:00.00000022,10.1,2010-09-14 03:25:00 UTC,-74.05151500000001,40.71836,-74.051517,40.718358,1
25,1299,2011-11-25 19:16:04.0000001,13.3,2011-11-25 19:16:04 UTC,-73.98832900000001,40.738628000000006,-73.980251,40.7857,1
